iter	Logloss
0	0.6814091168
1	0.6694185435
2	0.6581726195
3	0.6469497995
4	0.6361837654
5	0.6258059915
6	0.6154147568
7	0.6050147927
8	0.5956429242
9	0.5859319545
10	0.5762086081
11	0.5670823708
12	0.5584243156
13	0.5497119774
14	0.5409236853
15	0.5328770458
16	0.5247724428
17	0.5172544517
18	0.5098623913
19	0.5022823776
20	0.4944588721
21	0.4876543211
22	0.4807189112
23	0.4739158536
24	0.4674441419
25	0.4606662407
26	0.4544046817
27	0.4483267016
28	0.442579638
29	0.4369752177
30	0.4316220312
31	0.4260282688
32	0.4206078189
33	0.4157097109
34	0.4104183205
35	0.4054812967
36	0.4002958118
37	0.3956138832
38	0.3911962487
39	0.386864494
40	0.3825008454
41	0.3784085233
42	0.3743421274
43	0.3700852596
44	0.3662724996
45	0.362300136
46	0.3580658368
47	0.3542402279
48	0.3507085437
49	0.3475229338
50	0.3442294557
51	0.3407984973
52	0.3369805316
53	0.3336936673
54	0.3307346244
55	0.3274312438
56	0.3240820611
57	0.3211759846
58	0.3187413748
59	0.315834183
60	0.3132373624
61	0.3105421947
62	0.307992583
63	0.3058486017
64	0.303059174
65	0.3007677755
66	0.2985036751
67	0.2955447684
68	0.2934090596
69	0.2911431595
70	0.2889435591
71	0.2869570015
72	0.2843430024
73	0.2820918191
74	0.2802465459
75	0.2783771912
76	0.2764729847
77	0.2748965035
78	0.2725762454
79	0.2705070384
80	0.2685507189
81	0.2668455028
82	0.2652974996
83	0.2634548801
84	0.2620122469
85	0.2601028053
86	0.2585944916
87	0.2569231028
88	0.2553620548
89	0.2540775824
90	0.2521689281
91	0.2507297912
92	0.249351245
93	0.2477305877
94	0.2463327716
95	0.2451030661
96	0.2437125564
97	0.2424890408
98	0.2409526164
99	0.2395860504
100	0.2377937563
101	0.2362340481
102	0.2349229258
103	0.2336406148
104	0.232146036
105	0.2309000476
106	0.2299128548
107	0.2285103617
108	0.2275233069
109	0.2267516356
110	0.2258846366
111	0.2245047575
112	0.2232760767
113	0.2224824165
114	0.2212071371
115	0.2204680893
116	0.2194564193
117	0.2184729919
118	0.2177134474
119	0.2169476902
120	0.2162615542
121	0.2153290231
122	0.2144849933
123	0.2135856554
124	0.2126033661
125	0.2117470474
126	0.210808532
127	0.2099068048
128	0.2091514448
129	0.2080698767
130	0.2072490648
131	0.2064170487
132	0.2056057267
133	0.2046894749
134	0.2036979984
135	0.203165563
136	0.2022010365
137	0.2014439501
138	0.2006471359
139	0.1998933574
140	0.1989316528
141	0.197142	0.19142	0.19143	0.1920990404
144	0.1914697683
145	0.190537432
146	0.1899209888
147	0.1890871764
148	0.1882678637
149	0.1875520008
150	0.1871291194
151	0.1862536325
152	0.1853552618
153	0.1848634844
154	0.1844952187
155	0.1838475729
156	0.1828920164
157	0.1821362547
158	0.1815801337
159	0.1806088286
160	0.1801069356
161	0.1792595779
162	0.1786017179
163	0.1779184023
164	0.1773776781
165	0.1769088413
166	0.1765468275
167	0.1759625764
168	0.1754348358
169	0.175021871
170	0.1744598728
171	0.1738849921
172	0.1734456411
173	0.1726520276
174	0.1722886288
175	0.1716573625
176	0.1713095982
177	0.1708550812
178	0.1701607503
179	0.1696648873
180	0.1689254059
181	0.1680286714
182	0.167456947
183	0.1671142126
184	0.1666595451
185	0.1659943651
186	0.1655044674
187	0.1651231214
